ID,Film_Date,Published_Date,Tags_Count
1,25-02-2006,27-06-2006,7
2,25-02-2006,27-06-2006,9
3,24-02-2006,27-06-2006,9
4,26-02-2006,27-06-2006,9
5,22-02-2006,28-06-2006,11
6,02-02-2006,28-06-2006,7
7,24-02-2006,10-07-2006,9
8,23-02-2006,10-07-2006,5
9,02-02-2006,18-07-2006,9
10,25-02-2006,18-07-2006,8
11,26-02-2006,25-07-2006,10
12,26-02-2006,25-07-2006,10
13,23-02-2006,25-07-2006,8
14,06-02-2006,01-08-2006,4
15,23-02-2006,01-08-2006,8
16,23-02-2006,08-08-2006,6
17,26-02-2004,08-08-2006,6
18,24-02-2006,15-08-2006,8
19,25-02-2005,15-08-2006,9
20,14-07-2005,21-08-2006,8
21,23-02-2006,21-08-2006,7
22,24-02-2004,25-08-2006,10
23,23-02-2006,25-08-2006,8
24,24-02-2006,06-09-2006,8
25,04-02-2004,06-09-2006,9
26,14-07-2005,12-09-2006,9
27,07-07-2005,12-09-2006,8
28,27-02-2004,19-09-2006,6
29,26-02-2004,19-09-2006,9
30,02-02-2004,26-09-2006,8
31,15-07-2005,26-09-2006,9
32,26-02-2005,02-10-2006,6
33,14-07-2005,02-10-2006,8
34,13-07-2005,10-10-2006,13
35,01-07-2005,10-10-2006,10
36,14-07-2005,18-10-2006,6
37,12-07-2005,18-10-2006,12
38,24-02-2006,25-10-2006,10
39,24-02-2005,25-10-2006,9
40,24-02-2005,31-10-2006,8
41,17-02-2005,31-10-2006,9
42,24-02-2005,31-10-2006,8
43,14-07-2005,08-11-2006,5
44,23-02-2006,08-11-2006,6
45,24-02-2005,14-11-2006,9
46,24-02-2005,14-11-2006,8
47,23-02-2006,06-12-2006,10
48,23-02-2005,14-12-2006,7
49,30-11-2006,14-12-2006,6
50,23-02-2006,14-12-2006,8
51,14-07-2005,02-01-2007,10
52,02-02-2005,02-01-2007,10
53,03-02-2003,09-01-2007,7
54,23-02-2006,09-01-2007,9
55,14-07-2005,17-01-2007,9
56,02-02-2006,17-01-2007,5
57,30-11-2006,31-01-2007,9
58,14-07-2005,31-01-2007,9
59,25-02-2005,09-02-2007,6
60,25-02-2005,09-02-2007,12
61,23-02-2006,19-02-2007,9
62,02-02-2006,19-02-2007,10
63,07-07-2005,28-02-2007,9
64,08-03-2007,03-04-2007,8
65,08-03-2007,03-04-2007,10
66,08-03-2007,03-04-2007,10
67,01-03-2002,05-04-2007,8
68,27-02-2003,05-04-2007,6
69,02-02-2005,05-04-2007,8
70,26-02-2004,05-04-2007,6
71,02-02-2002,05-04-2007,11
72,02-02-2003,05-04-2007,9
73,02-02-2004,05-04-2007,5
74,07-07-2005,05-04-2007,10
75,25-02-2005,05-04-2007,5
76,02-02-2002,05-04-2007,8
77,14-12-2006,05-04-2007,6
78,14-07-2005,05-04-2007,4
79,27-02-2003,05-04-2007,6
80,14-07-2005,05-04-2007,7
81,24-02-2005,05-04-2007,10
82,24-02-2005,05-04-2007,11
83,27-02-2004,05-04-2007,7
84,02-02-2004,05-04-2007,8
85,02-02-2005,05-04-2007,8
86,25-02-2004,05-04-2007,6
87,26-02-2006,06-04-2007,6
88,02-02-2005,06-04-2007,5
89,27-02-2003,06-04-2007,8
90,02-02-2003,07-04-2007,5
91,02-02-2005,07-04-2007,10
92,02-02-2003,10-04-2007,9
93,02-02-2006,10-04-2007,6
94,02-02-2003,15-04-2007,7
95,02-02-2003,15-04-2007,9
96,02-02-2005,16-04-2007,7
97,02-02-2002,16-04-2007,5
98,02-02-2006,16-04-2007,4
99,02-02-2004,16-04-2007,4
100,02-02-2004,27-04-2007,6
101,02-02-2002,02-05-2007,6
102,02-02-2004,04-05-2007,8
103,03-03-2006,07-05-2007,8
104,02-02-2004,12-05-2007,9
105,02-02-2002,15-05-2007,8
106,02-02-2006,17-05-2007,9
107,02-02-2003,21-05-2007,8
108,02-02-2003,21-05-2007,9
109,03-03-2007,27-05-2007,8
110,03-03-2007,27-05-2007,7
111,03-03-2007,30-05-2007,6
112,03-03-2007,05-06-2007,4
113,01-12-2006,06-06-2007,7
114,02-02-2002,12-06-2007,11
115,02-02-2005,14-06-2007,7
116,02-02-2006,19-06-2007,7
117,03-03-2007,20-06-2007,5
118,03-03-2007,25-06-2007,11
119,03-03-2007,27-06-2007,9
120,02-02-2002,03-07-2007,6
121,02-02-2006,04-07-2007,7
122,03-03-2007,09-07-2007,5
123,03-03-2007,12-07-2007,7
124,03-03-2007,17-07-2007,5
125,03-03-2007,17-07-2007,3
126,03-03-2007,22-07-2007,9
127,03-03-2007,24-07-2007,4
128,05-06-2007,30-07-2007,8
129,07-06-2007,31-07-2007,11
130,05-06-2007,31-07-2007,8
131,04-06-2007,31-07-2007,5
132,06-06-2007,03-08-2007,6
133,06-06-2007,09-08-2007,7
134,05-06-2007,12-08-2007,9
135,07-06-2007,15-08-2007,7
136,08-06-2007,21-08-2007,5
137,03-03-2007,22-08-2007,7
138,09-03-2007,28-08-2007,10
139,03-03-2007,30-08-2007,5
140,06-06-2007,04-09-2007,7
141,03-03-2007,06-09-2007,9
142,07-07-2005,09-09-2007,5
143,03-03-2007,10-09-2007,8
144,03-03-2007,13-09-2007,6
145,07-06-2007,18-09-2007,8
146,03-03-2007,20-09-2007,4
147,02-02-2002,25-09-2007,9
148,02-02-2003,26-09-2007,9
149,03-03-2007,01-10-2007,10
150,03-03-2007,03-10-2007,4
151,03-03-2007,09-10-2007,9
152,06-03-2007,11-10-2007,7
153,03-03-2007,16-10-2007,6
154,03-03-2007,18-10-2007,7
155,03-03-2007,21-10-2007,7
156,06-06-2007,25-10-2007,6
157,02-02-2001,30-10-2007,9
158,02-02-2004,01-11-2007,12
159,03-03-2007,06-11-2007,5
160,03-03-2007,08-11-2007,5
161,09-09-2007,13-11-2007,7
162,09-09-2007,15-11-2007,7
163,01-01-2007,21-11-2007,5
164,02-02-2005,27-11-2007,5
165,06-06-2007,29-11-2007,6
166,03-03-2007,04-12-2007,5
167,03-03-2007,06-12-2007,5
168,02-02-2005,11-12-2007,8
169,02-02-2005,13-12-2007,5
170,03-03-2007,18-12-2007,5
171,03-03-2007,20-12-2007,5
172,03-03-2007,21-12-2007,7
173,03-03-2007,03-01-2008,8
174,07-03-2007,04-01-2008,2
175,02-02-2003,08-01-2008,6
176,03-03-2007,10-01-2008,6
177,03-03-2007,11-01-2008,7
178,03-03-2007,15-01-2008,4
179,28-02-2002,17-01-2008,7
180,03-03-2007,18-01-2008,8
181,02-02-2002,21-01-2008,7
182,03-03-2007,23-01-2008,7
183,03-03-2007,24-01-2008,4
184,07-07-2005,28-01-2008,4
185,02-02-2002,30-01-2008,7
186,03-03-2007,31-01-2008,5
187,03-03-2007,04-02-2008,10
188,02-02-2002,06-02-2008,9
189,03-03-2007,07-02-2008,11
190,02-02-2005,11-02-2008,8
191,02-02-2002,13-02-2008,4
192,02-02-2002,14-02-2008,10
193,03-03-2002,18-02-2008,7
194,03-03-2007,20-02-2008,7
195,02-02-2002,22-02-2008,4
196,06-06-2007,25-02-2008,5
197,03-03-2007,27-02-2008,9
198,27-02-2008,28-02-2008,7
199,03-03-2007,04-03-2008,5
200,28-02-2008,06-03-2008,8
201,02-02-1984,11-03-2008,8
202,27-02-2008,12-03-2008,6
203,03-03-1990,13-03-2008,5
204,28-02-2008,18-03-2008,11
205,28-02-2008,19-03-2008,5
206,28-02-2008,20-03-2008,7
207,01-01-2007,24-03-2008,3
208,29-02-2008,25-03-2008,8
209,28-02-2006,26-03-2008,5
210,06-06-2007,27-03-2008,6
211,29-02-2008,01-04-2008,6
212,03-03-2007,02-04-2008,7
213,03-03-2007,03-04-2008,9
214,27-02-2008,04-04-2008,7
215,03-03-2008,08-04-2008,4
216,28-02-2008,11-04-2008,8
217,03-03-2008,15-04-2008,9
218,07-07-2005,16-04-2008,8
219,06-06-2007,17-04-2008,9
220,02-02-2008,22-04-2008,4
221,02-02-2005,23-04-2008,5
222,03-03-2008,29-04-2008,6
223,03-03-2007,30-04-2008,5
224,06-06-2007,01-05-2008,5
225,03-03-2008,06-05-2008,7
226,03-03-2007,07-05-2008,10
227,03-03-2002,08-05-2008,7
228,03-03-2008,13-05-2008,6
229,03-03-2008,14-05-2008,7
230,12-12-2007,15-05-2008,5
231,29-02-2008,20-05-2008,9
232,29-02-2008,21-05-2008,6
233,03-03-2004,27-05-2008,6
234,06-06-2007,27-05-2008,7
235,03-03-2008,28-05-2008,9
236,29-02-2008,03-06-2008,6
237,03-03-2007,04-06-2008,9
238,06-06-2007,05-06-2008,5
239,02-02-2008,10-06-2008,7
240,03-03-2007,11-06-2008,5
241,03-03-2003,16-06-2008,8
242,02-02-2008,16-06-2008,7
243,03-03-2008,16-06-2008,6
244,02-02-2002,19-06-2008,7
245,02-02-2007,23-06-2008,7
246,12-07-2005,24-06-2008,7
247,02-02-2008,25-06-2008,7
248,12-12-2007,26-06-2008,4
249,29-02-2008,27-06-2008,7
250,12-02-2008,30-06-2008,3
251,02-02-2008,30-06-2008,6
252,12-12-2007,02-07-2008,7
253,03-03-2007,03-07-2008,8
254,06-06-2007,07-07-2008,7
255,03-03-2003,08-07-2008,9
256,02-02-2008,09-07-2008,6
257,01-07-2005,10-07-2008,7
258,02-02-2008,11-07-2008,8
259,02-02-2003,14-07-2008,10
260,02-02-2008,15-07-2008,10
261,02-02-1998,16-07-2008,6
262,02-12-2007,17-07-2008,7
263,02-02-2004,18-07-2008,4
264,02-02-2004,21-07-2008,9
265,06-06-2007,22-07-2008,4
266,02-02-2008,22-07-2008,8
267,02-02-2008,23-07-2008,9
268,12-12-2007,24-07-2008,8
269,02-02-2003,28-07-2008,5
270,12-12-2007,28-07-2008,5
271,06-06-2007,30-07-2008,8
272,02-02-2008,30-07-2008,6
273,02-02-2008,01-08-2008,4
274,02-02-2008,18-08-2008,10
275,06-06-2007,18-08-2008,8
276,02-02-2008,19-08-2008,7
277,02-02-2005,20-08-2008,4
278,03-12-2007,21-08-2008,4
279,02-02-2008,22-08-2008,5
280,12-12-2007,26-08-2008,6
281,02-02-2007,27-08-2008,6
282,06-06-2007,28-08-2008,6
283,02-02-2006,29-08-2008,4
284,02-02-2008,02-09-2008,7
285,07-07-2005,03-09-2008,6
286,12-12-2007,04-09-2008,5
287,02-02-2007,05-09-2008,5
288,06-06-2007,08-09-2008,8
289,29-02-2008,09-09-2008,5
290,12-12-2007,10-09-2008,10
291,28-02-1998,11-09-2008,7
292,02-02-2005,12-09-2008,4
293,02-02-2002,15-09-2008,6
294,12-12-2007,16-09-2008,7
295,01-03-2008,17-09-2008,8
296,07-07-2005,18-09-2008,8
297,01-03-2007,19-09-2008,5
298,02-02-2003,22-09-2008,8
299,02-02-2008,23-09-2008,9
300,02-02-2008,24-09-2008,4
301,12-12-2007,25-09-2008,9
302,28-02-2003,26-09-2008,9
303,02-02-2003,29-09-2008,6
304,02-02-2008,30-09-2008,6
305,02-02-2003,01-10-2008,8
306,12-12-2007,02-10-2008,5
307,03-10-2008,03-10-2008,7
308,02-02-2006,06-10-2008,5
309,02-02-2008,07-10-2008,6
310,02-02-2003,08-10-2008,6
311,02-02-2003,10-10-2008,6
312,02-02-2008,14-10-2008,3
313,12-12-2007,15-10-2008,4
314,02-02-2004,16-10-2008,7
315,02-02-2004,17-10-2008,4
316,02-02-2008,21-10-2008,9
317,02-02-1998,22-10-2008,8
318,29-02-2004,23-10-2008,6
319,28-02-2003,24-10-2008,9
320,28-02-2003,27-10-2008,7
321,02-02-2008,28-10-2008,7
322,02-02-2005,30-10-2008,10
323,06-06-2007,31-10-2008,7
324,01-10-2009,31-10-2008,4
325,01-10-2009,31-10-2008,5
326,01-10-2009,31-10-2008,6
327,14-10-2009,31-10-2008,4
328,01-10-2009,31-10-2008,6
329,14-10-2009,01-11-2008,4
330,28-02-2005,03-11-2008,6
331,02-02-2005,04-11-2008,6
332,02-02-2008,05-11-2008,3
333,07-05-2008,06-11-2008,6
334,02-02-2005,07-11-2008,7
335,02-02-2003,10-11-2008,7
336,02-02-2008,11-11-2008,6
337,07-05-2008,12-11-2008,10
338,02-02-2006,13-11-2008,7
339,02-02-2004,17-11-2008,6
340,02-02-2008,18-11-2008,7
341,06-06-2007,19-11-2008,9
342,08-05-2008,20-11-2008,10
343,02-02-2006,24-11-2008,5
344,18-07-2008,25-11-2008,4
345,02-02-2008,26-11-2008,8
346,02-02-2008,01-12-2008,9
347,02-02-2008,02-12-2008,6
348,08-05-2008,03-12-2008,9
349,28-02-2005,04-12-2008,7
350,03-03-2007,05-12-2008,6
351,01-03-2004,08-12-2008,7
352,02-02-2001,09-12-2008,5
353,19-07-2008,10-12-2008,7
354,29-02-2008,14-12-2008,10
355,07-07-2005,16-12-2008,10
356,19-07-2008,17-12-2008,7
357,02-02-2006,18-12-2008,10
358,02-02-2004,22-12-2008,6
359,04-12-2008,22-12-2008,6
360,07-07-2008,24-12-2008,7
361,02-02-2002,05-01-2009,7
362,05-05-2008,06-01-2009,7
363,28-02-2005,07-01-2009,9
364,02-02-2004,08-01-2009,5
365,02-02-2005,09-01-2009,1
366,02-02-2006,12-01-2009,5
367,28-02-2005,13-01-2009,9
368,17-07-2008,14-01-2009,7
369,29-02-2004,15-01-2009,4
370,05-05-2008,16-01-2009,5
371,02-02-2003,19-01-2009,5
372,02-02-2006,21-01-2009,5
373,30-06-2008,22-01-2009,6
374,02-02-2003,23-01-2009,3
375,02-02-2004,26-01-2009,5
376,27-02-2008,27-01-2009,7
377,02-02-1998,28-01-2009,6
378,02-02-2006,29-01-2009,6
379,02-02-2003,30-01-2009,8
380,02-02-2003,03-02-2009,4
381,02-02-2009,05-02-2009,9
382,05-02-2009,09-02-2009,7
383,02-02-1998,11-02-2009,5
384,06-02-2009,12-02-2009,10
385,07-02-2009,16-02-2009,8
386,04-02-2009,17-02-2009,6
387,05-02-2009,18-02-2009,7
388,05-02-2009,19-02-2009,9
389,05-02-2009,19-02-2009,7
390,05-02-2009,20-02-2009,8
391,04-02-2009,23-02-2009,6
392,05-02-2009,24-02-2009,5
393,02-02-2004,25-02-2009,7
394,12-12-2008,26-02-2009,6
395,05-02-2009,27-02-2009,7
396,02-02-1998,02-03-2009,8
397,06-02-2009,03-03-2009,8
398,06-02-2009,04-03-2009,10
399,12-12-2008,05-03-2009,3
400,06-02-2009,06-03-2009,7
401,02-02-2003,09-03-2009,3
402,06-02-2009,10-03-2009,4
403,05-02-2009,11-03-2009,7
404,08-05-2008,12-03-2009,10
405,05-02-2009,13-03-2009,6
406,05-02-2009,16-03-2009,10
407,07-02-2009,17-03-2009,9
408,12-12-2008,18-03-2009,8
409,12-05-2008,19-03-2009,4
410,05-02-2009,20-03-2009,7
411,06-02-2009,23-03-2009,6
412,02-02-2009,24-03-2009,7
413,12-12-2008,25-03-2009,2
414,01-02-2001,26-03-2009,7
415,05-02-2009,27-03-2009,11
416,09-02-2001,30-03-2009,7
417,05-02-2009,31-03-2009,6
418,06-02-2009,01-04-2009,9
419,02-02-2002,02-04-2009,5
420,04-02-2009,03-04-2009,8
421,02-02-2002,06-04-2009,6
422,07-02-2009,07-04-2009,5
423,06-02-2009,08-04-2009,10
424,02-02-2002,09-04-2009,7
425,06-02-2009,10-04-2009,4
426,05-02-2009,13-04-2009,8
427,02-02-2003,14-04-2009,7
428,05-02-2009,15-04-2009,5
429,05-12-2008,15-04-2009,6
430,05-02-2009,17-04-2009,4
431,06-02-2009,20-04-2009,6
432,02-02-2002,21-04-2009,4
433,06-02-2009,22-04-2009,6
434,07-02-2009,22-04-2009,5
435,28-02-2002,23-04-2009,6
436,07-02-2009,27-04-2009,10
437,28-02-2004,28-04-2009,5
438,05-02-2009,29-04-2009,7
439,02-02-2007,30-04-2009,7
440,05-02-2009,01-05-2009,6
441,05-02-2009,04-05-2009,4
442,02-02-2002,05-05-2009,8
443,27-02-2003,06-05-2009,6
444,06-02-2009,07-05-2009,10
445,05-02-2009,07-05-2009,9
446,04-02-2009,11-05-2009,7
447,05-02-2009,12-05-2009,5
448,06-02-2009,13-05-2009,7
449,04-02-2009,14-05-2009,12
450,04-02-2009,15-05-2009,6
451,02-02-2009,18-05-2009,8
452,12-12-2008,19-05-2009,9
453,06-02-2009,20-05-2009,7
454,06-02-2009,21-05-2009,8
455,06-02-2009,22-05-2009,5
456,05-02-2009,25-05-2009,4
457,05-02-2009,27-05-2009,5
458,04-04-2009,27-05-2009,5
459,06-02-2009,28-05-2009,9
460,01-03-2008,29-05-2009,5
461,07-02-2009,01-06-2009,6
462,07-02-2009,02-06-2009,8
463,04-02-2009,03-06-2009,8
464,27-02-2004,05-06-2009,6
465,05-02-2009,08-06-2009,2
466,06-02-2009,09-06-2009,5
467,06-02-2009,09-06-2009,7
468,02-02-2004,10-06-2009,6
469,05-02-2009,11-06-2009,7
470,06-02-2009,12-06-2009,6
471,23-03-2009,15-06-2009,7
472,03-06-2009,16-06-2009,7
473,06-02-2009,17-06-2009,5
474,06-02-2009,18-06-2009,6
475,23-03-2009,19-06-2009,6
476,06-02-2009,22-06-2009,6
477,06-06-2009,24-06-2009,5
478,10-03-2007,25-06-2009,5
479,06-02-2009,26-06-2009,1
480,05-02-2009,29-06-2009,4
481,06-02-2009,30-06-2009,6
482,06-02-2009,01-07-2009,5
483,02-02-2007,06-07-2009,5
484,06-02-2009,07-07-2009,6
485,06-02-2009,08-07-2009,5
486,05-02-2009,09-07-2009,8
487,03-06-2009,13-07-2009,11
488,06-02-2009,14-07-2009,3
489,06-02-2009,15-07-2009,7
490,05-02-2009,16-07-2009,10
491,05-02-2009,17-07-2009,7
492,21-07-2009,21-07-2009,7
493,21-07-2009,28-07-2009,5
494,20-02-2009,30-07-2009,6
495,22-07-2009,31-07-2009,3
496,21-07-2009,03-08-2009,2
497,22-07-2009,04-08-2009,7
498,22-07-2009,05-08-2009,6
499,22-07-2009,06-08-2009,9
500,23-07-2009,07-08-2009,8
501,24-07-2009,24-08-2009,7
502,23-07-2009,25-08-2009,6
503,04-06-2009,27-08-2009,12
504,06-02-2009,28-08-2009,6
505,23-07-2009,31-08-2009,10
506,23-07-2009,01-09-2009,8
507,24-07-2009,02-09-2009,5
508,23-07-2009,03-09-2009,5
509,22-07-2009,04-09-2009,5
510,23-07-2009,08-09-2009,5
511,09-09-2009,09-09-2009,4
512,22-07-2009,10-09-2009,4
513,09-02-2006,11-09-2009,6
514,23-07-2009,14-09-2009,6
515,23-07-2009,15-09-2009,6
516,23-07-2009,16-09-2009,4
517,05-02-2009,17-09-2009,8
518,22-07-2009,18-09-2009,6
519,22-07-2009,21-09-2009,6
520,23-07-2009,22-09-2009,5
521,23-07-2009,23-09-2009,5
522,23-07-2009,24-09-2009,5
523,03-06-2009,25-09-2009,11
524,23-07-2009,28-09-2009,10
525,22-07-2009,29-09-2009,6
526,24-07-2009,29-09-2009,6
527,23-07-2009,01-10-2009,7
528,23-07-2009,02-10-2009,8
529,22-07-2009,05-10-2009,5
530,23-03-2009,06-10-2009,6
531,23-07-2009,07-10-2009,6
532,23-07-2009,08-10-2009,7
533,24-07-2009,09-10-2009,6
534,22-07-2009,12-10-2009,8
