comments,duration,event,film_date,languages,main_speaker,name,num_speaker,published_date,speaker_occupation,tags,title,views
4553,1164,TED2006,1140825600,60,Ken Robinson,Ken Robinson: Do schools kill creativity?,1,1151367060,Author/educator,"['children', 'creativity', 'culture', 'dance', 'education', 'parenting', 'teaching']",Do schools kill creativity?,47227110
265,977,TED2006,1140825600,43,Al Gore,Al Gore: Averting the climate crisis,1,1151367060,Climate advocate,"['alternative energy', 'cars', 'climate change', 'culture', 'environment', 'global issues', 'science', 'sustainability', 'technology']",Averting the climate crisis,3200520
124,1286,TED2006,1140739200,26,David Pogue,David Pogue: Simplicity sells,1,1151367060,Technology columnist,"['computers', 'entertainment', 'interface design', 'media', 'music', 'performance', 'simplicity', 'software', 'technology']",Simplicity sells,1636292
200,1116,TED2006,1140912000,35,Majora Carter,Majora Carter: Greening the ghetto,1,1151367060,Activist for environmental justice,"['MacArthur grant', 'activism', 'business', 'cities', 'environment', 'green', 'inequality', 'politics', 'pollution']",Greening the ghetto,1697550
593,1190,TED2006,1140566400,48,Hans Rosling,Hans Rosling: The best stats you've ever seen,1,1151440680,Global health expert; data visionary,"['Africa', 'Asia', 'Google', 'demo', 'economics', 'global development', 'global issues', 'health', 'math', 'statistics', 'visualizations']",The best stats you've ever seen,12005869
672,1305,TED2006,1138838400,36,Tony Robbins,Tony Robbins: Why we do what we do,1,1151440680,Life coach; expert in leadership psychology,"['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']",Why we do what we do,20685401
919,992,TED2006,1140739200,31,Julia Sweeney,Julia Sweeney: Letting go of God,1,1152490260,Actor comedian playwright,"['Christianity', 'God', 'atheism', 'comedy', 'culture', 'humor', 'performance', 'religion', 'storytelling']",Letting go of God,3769987
46,1198,TED2006,1140652800,19,Joshua Prince-Ramus,Joshua Prince-Ramus: Behind the design of Seattle's library,1,1152490260,Architect,"['architecture', 'collaboration', 'culture', 'design', 'library']",Behind the design of Seattle's library,967741
852,1485,TED2006,1138838400,32,Dan Dennett,Dan Dennett: Let's teach religion -- all religion -- in schools,1,1153181460,Philosopher cognitive scientist,"['God', 'TED Brain Trust', 'atheism', 'brain', 'cognitive science', 'consciousness', 'evolution', 'philosophy', 'religion']",Let's teach religion -- all religion -- in schools,2567958
900,1262,TED2006,1140825600,31,Rick Warren,Rick Warren: A life of purpose,1,1153181460,Pastor author,"['Christianity', 'God', 'culture', 'happiness', 'leadership', 'motivation', 'philanthropy', 'religion']",A life of purpose,3095993
79,1414,TED2006,1140912000,27,Cameron Sinclair,Cameron Sinclair: My wish: A call for open-source architecture,1,1153786260,Co-founder Architecture for Humanity,"['activism', 'architecture', 'collaboration', 'culture', 'design', 'disaster relief', 'global issues', 'invention', 'open-source', 'philanthropy']",My wish: A call for open-source architecture,1211416
55,1538,TED2006,1140912000,20,Jehane Noujaim,Jehane Noujaim: My wish: A global day of film,1,1153786260,Filmmaker,"['TED Prize', 'art', 'culture', 'entertainment', 'film', 'global issues', 'movies', 'peace', 'social change', 'storytelling']",My wish: A global day of film,387877
71,1550,TED2006,1140652800,24,Larry Brilliant,Larry Brilliant: My wish: Help me stop pandemics,1,1153786260,Epidemiologist philanthropist,"['TED Prize', 'collaboration', 'disease', 'ebola', 'global issues', 'health', 'science', 'technology']",My wish: Help me stop pandemics,693341
242,527,TED2006,1139184000,27,Jeff Han,Jeff Han: The radical promise of the multi-touch interface,1,1154391060,Human-computer interface designer,"['demo', 'design', 'interface design', 'technology']",The radical promise of the multi-touch interface,4531020
99,1057,TED2006,1140652800,25,Nicholas Negroponte,Nicholas Negroponte: One Laptop per Child,1,1154391060,Tech visionary,"['children', 'design', 'education', 'entrepreneur', 'global issues', 'philanthropy', 'social change', 'technology']",One Laptop per Child,358304
325,1481,TED2006,1140652800,31,Sirena Huang,Sirena Huang: An 11-year-old's magical violin,1,1154995860,Violinist,"['entertainment', 'music', 'performance', 'violin', 'wunderkind', 'youth']",An 11-year-old's magical violin,2702470
