OK,Funny,Ingenious,Longwinded,Persuasive,Courageous,Jaw-dropping,Unconvincing,Inspiring,Informative,Fascinating,Beautiful,Obnoxious,Confusing,url
1174,19645,6073,387,10704,3253,4439,300,24924,7346,10581,4573,209,242,"https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity
"
203,544,56,113,268,139,116,258,413,443,132,58,131,62,"https://www.ted.com/talks/al_gore_on_averting_climate_crisis
"
146,964,183,78,230,45,54,104,230,395,166,60,142,27,"https://www.ted.com/talks/david_pogue_says_simplicity_sells
"
85,59,105,53,460,760,230,36,1070,380,132,291,35,32,"https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal
"
248,1390,3202,110,2542,318,3736,67,2893,5433,4606,942,61,72,"https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen
"
441,1102,397,285,2423,721,669,377,5211,1038,1350,706,335,301,"https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
"
308,2484,320,193,311,477,61,225,438,226,316,277,290,72,"https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god
"
63,9,195,26,37,34,57,26,175,121,153,98,5,25,"https://www.ted.com/talks/joshua_prince_ramus_on_seattle_s_library
"
154,60,211,177,764,562,60,283,441,623,313,145,83,70,"https://www.ted.com/talks/dan_dennett_s_response_to_rick_warren
"
245,26,116,306,1543,476,209,838,2556,304,459,767,371,111,"https://www.ted.com/talks/rick_warren_on_a_life_of_purpose
"
39,18,258,34,160,169,66,21,608,187,148,51,7,14,"https://www.ted.com/talks/cameron_sinclair_on_open_source_architecture
"
26,5,20,16,42,96,20,14,201,33,41,70,1,7,"https://www.ted.com/talks/jehane_noujaim_inspires_a_global_day_of_film
"
11,3,57,9,111,86,70,5,240,188,83,16,5,2,"https://www.ted.com/talks/larry_brilliant_wants_to_stop_pandemics
"
188,104,1014,55,77,34,4643,32,471,461,919,277,23,19,"https://www.ted.com/talks/jeff_han_demos_his_breakthrough_touchscreen
"
30,14,89,20,49,83,29,31,216,104,67,32,11,6,"https://www.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child
"
95,190,190,29,41,143,2280,15,879,22,635,1671,39,10,"https://www.ted.com/talks/sirena_huang_dazzles_on_violin
"
68,24,197,35,22,85,1997,53,552,32,454,1107,31,22,"https://www.ted.com/talks/jennifer_lin_improvs_piano_magic
"
30,21,321,19,140,150,63,13,515,279,159,67,4,7,"https://www.ted.com/talks/amy_smith_shares_simple_lifesaving_design
"
68,49,185,119,22,79,93,113,363,71,220,259,210,80,"https://www.ted.com/talks/ross_lovegrove_shares_organic_designs
"
68,19,170,46,73,63,54,14,277,478,181,104,11,13,"https://www.ted.com/talks/jimmy_wales_on_the_birth_of_wikipedia
"
69,12,117,30,120,52,26,26,258,320,111,22,6,8,"https://www.ted.com/talks/richard_baraniuk_on_open_source_learning
"
450,2799,387,266,20,75,80,137,196,61,177,74,239,203,"https://www.ted.com/talks/ze_frank_s_nerdcore_comedy
"
87,106,9,119,23,33,3,67,86,82,34,54,41,40,"https://www.ted.com/talks/mena_trott_tours_her_blog_world
"
394,780,345,245,1513,177,207,249,1083,2591,2106,864,111,115,"https://www.ted.com/talks/helen_fisher_tells_us_why_we_love_cheat
"
26,109,44,31,97,654,97,27,789,154,144,342,43,13,"https://www.ted.com/talks/eve_ensler_on_happiness_in_body_and_soul
"
73,131,269,45,1234,92,139,49,397,446,515,91,21,42,"https://www.ted.com/talks/david_deutsch_on_our_place_in_the_cosmos
"
93,127,417,91,367,112,324,41,674,653,1281,333,39,42,"https://www.ted.com/talks/richard_dawkins_on_our_queer_universe
"
44,485,175,35,109,93,61,19,43,532,404,12,17,7,"https://www.ted.com/talks/steven_levitt_analyzes_crack_economics
"
361,1668,1127,190,1014,87,290,115,1276,2004,2082,333,51,80,"https://www.ted.com/talks/malcolm_gladwell_on_spaghetti_sauce
"
439,1728,1166,169,2355,248,1047,174,3554,3899,4303,444,67,241,"https://www.ted.com/talks/dan_gilbert_asks_why_are_we_happy
"
421,1526,1201,178,2478,400,521,324,2427,2532,2491,277,115,54,"https://www.ted.com/talks/barry_schwartz_on_the_paradox_of_choice
"
75,13,279,84,93,171,152,38,377,277,356,68,58,30,"https://www.ted.com/talks/eva_vertes_looks_to_the_future_of_medicine
"
145,215,297,215,1359,350,337,309,518,536,812,65,120,206,"https://www.ted.com/talks/aubrey_de_grey_says_we_can_avoid_aging
"
32,1,112,16,66,55,18,8,164,153,61,6,3,11,"https://www.ted.com/talks/iqbal_quadir_says_mobiles_fight_poverty
"
21,5,30,5,92,53,6,16,260,138,62,60,3,4,"https://www.ted.com/talks/jacqueline_novogratz_invests_in_ending_poverty
"
25,1,42,31,51,53,3,4,71,101,27,11,4,11,"https://www.ted.com/talks/sasa_vucinic_invests_in_free_press
"
51,9,31,21,112,139,35,35,113,218,44,48,11,25,"https://www.ted.com/talks/ashraf_ghani_on_rebuilding_broken_states
"
115,63,86,70,198,168,63,77,498,336,247,30,47,23,"https://www.ted.com/talks/burt_rutan_sees_the_future_of_space
"
20,80,7,10,22,274,74,18,288,44,124,44,7,1,"https://www.ted.com/talks/ben_saunders_skis_to_the_north_pole
"
24,26,22,41,145,104,39,30,294,80,51,68,33,12,"https://www.ted.com/talks/bono_s_call_to_action_for_africa
"
27,8,20,58,64,52,95,10,158,184,149,106,10,11,"https://www.ted.com/talks/edward_burtynsky_on_manufactured_landscapes
"
23,1,126,18,27,11,18,20,48,115,74,6,8,4,"https://www.ted.com/talks/robert_fischell_on_medical_inventing
"
75,103,106,98,364,15,73,2,87,844,357,13,11,67,"https://www.ted.com/talks/peter_donnelly_shows_how_stats_fool_juries
"
237,2751,509,37,1958,109,133,151,373,1344,799,136,157,51,"https://www.ted.com/talks/michael_shermer_on_believing_strange_things
"
141,18,207,150,237,61,309,111,388,806,691,55,27,91,"https://www.ted.com/talks/ray_kurzweil_on_how_technology_will_transform_us
"
111,11,192,147,1084,34,49,136,279,269,311,52,24,87,"https://www.ted.com/talks/kevin_kelly_on_how_technology_evolves
"
36,5,36,25,92,180,33,14,222,145,27,23,3,8,"https://www.ted.com/talks/peter_gabriel_fights_injustice_with_video
"
685,2966,638,27,1433,457,251,213,4978,1912,777,576,57,43,"https://www.ted.com/talks/richard_st_john_s_8_secrets_of_success
"
135,949,377,41,25,44,94,56,195,21,186,408,73,45,"https://www.ted.com/talks/rives_controls_the_internet
"
133,54,31,8,331,31,62,61,151,749,85,8,14,28,"https://www.ted.com/talks/dean_ornish_on_the_world_s_killer_diet
"
62,3,21,70,73,45,32,97,105,265,130,18,47,36,"https://www.ted.com/talks/robert_neuwirth_on_our_shadow_cities
"
111,16,139,79,1668,283,67,537,280,549,169,16,212,63,"https://www.ted.com/talks/bjorn_lomborg_sets_global_priorities
"
75,68,136,55,426,192,380,54,970,698,928,563,46,24,"https://www.ted.com/talks/wade_davis_on_endangered_cultures
"
