views,Courageous,Informative,Jaw-dropping,OK,Obnoxious,Unconvincing,Confusing,talk_id
47227110,3253,7346,4439,1174,209,300,242,1
3200520,58,443,268,116,131,132,113,2
1636292,60,395,146,230,54,166,78,3
1697550,59,53,460,230,35,1070,36,4
12005869,318,67,3736,2542,248,2893,72,5
20685401,301,285,2423,441,669,5211,397,6
3769987,225,226,311,308,290,316,72,7
967741,34,121,63,57,9,25,175,8
2567958,60,145,764,60,154,441,211,9
3095993,116,304,1543,371,245,459,111,10
1211416,187,51,160,66,7,21,148,11
387877,20,33,42,20,26,41,201,12
693341,16,57,5,5,2,111,83,13
4531020,55,32,4643,77,23,471,19,14
358304,32,67,30,49,29,31,216,15
2702470,29,635,95,41,39,10,879,16
1628912,22,454,32,22,24,1997,552,17
1415724,279,13,30,63,4,19,159,18
1074081,80,113,93,210,68,363,119,19
1106561,170,277,68,11,54,19,478,20
966439,12,258,26,120,69,8,320,21
6141440,74,266,80,239,450,61,203,22
518624,33,67,87,23,41,34,119,23
9260764,345,1083,1513,394,207,245,2591,24
1131864,31,342,97,97,26,789,44,25
1096862,42,397,1234,73,139,45,446,26
2885999,417,653,41,367,93,1281,91,27
2863214,35,532,61,109,7,404,12,28
7023562,190,115,1014,290,361,1276,87,29
14689301,444,248,2355,1047,439,3554,169,30
10000702,400,2427,2478,521,421,324,2532,31
1030267,277,377,93,152,75,30,84,32
3277740,215,65,1359,145,337,518,297,33
503517,164,55,6,18,3,66,61,34
705389,30,62,21,5,5,92,260,35
580891,71,53,3,4,1,11,25,36
809226,31,218,35,112,9,44,21,37
2028451,86,336,115,63,198,247,23,38
745231,18,124,7,7,10,20,288,39
718649,104,80,22,39,24,51,30,40
975107,158,149,27,64,10,20,11,41
382996,18,74,27,18,20,23,48,42
1053758,98,87,75,15,11,364,844,43
5364639,136,373,1958,133,237,109,1344,44
2434344,91,806,309,237,141,18,150,45
1536873,11,136,1084,111,49,311,147,46
904215,23,25,33,8,36,27,222,47
10841210,1912,777,1433,251,685,457,43,48
1813665,408,195,135,73,94,186,21,49
2299265,28,31,133,14,62,31,151,50
673036,45,97,32,47,62,21,130,51
1391142,79,16,1668,111,67,280,537,52
2532851,24,54,380,426,75,928,55,53
882034,61,88,24,7,14,33,157,54
2121177,63,607,175,188,21,737,109,55
1090180,140,30,288,129,23,343,55,56
684519,26,9,10,5,2,20,66,57
1409327,355,37,36,11,10,249,200,58
3051507,18,58,2011,34,81,846,22,59
978825,67,208,146,39,36,7,149,60
442553,31,22,23,4,6,12,84,61
691814,26,172,105,42,9,21,188,62
2441805,411,93,53,21,30,35,242,63
849859,45,368,32,11,7,160,208,64
1335732,44,17,79,46,178,403,71,65
1262674,27,198,171,24,13,24,574,66
1663001,70,387,285,107,27,432,28,67
5570544,91,997,811,158,100,571,23,68
1520908,54,360,66,54,47,298,230,69
2138907,319,367,35,93,32,62,173,70
680134,20,116,34,63,17,34,89,71
690928,23,176,133,21,181,19,319,72
1762302,180,542,123,14,23,52,100,73
1392010,313,158,72,174,14,12,30,74
660909,60,59,15,18,7,11,91,75
867495,81,23,45,64,28,162,36,76
395769,17,22,11,7,13,5,2,77
761930,31,276,9,56,19,98,199,78
1149090,27,362,162,20,44,16,46,79
762264,273,108,108,47,66,15,151,80
1920434,387,704,234,38,27,11,874,81
560904,12,163,10,3,3,74,73,82
606311,80,21,89,57,16,65,13,83
2197377,119,556,15,106,37,1936,604,84
1697185,71,611,882,145,62,25,262,85
1115081,5,724,16,8,21,234,85,86
591379,11,70,16,10,8,5,25,87
398713,45,17,5,1,2,58,32,88
2676717,189,204,289,89,45,27,680,89
4165572,312,483,1587,218,114,49,107,90
1426390,34,257,907,207,39,286,49,91
754700,66,18,68,66,16,166,24,92
643078,124,5,11,17,8,133,117,93
513672,61,24,7,2,2,47,5,94
428351,20,12,23,15,1,24,169,95
616385,223,319,66,66,98,11,75,96
4374792,86,192,2475,551,406,2935,663,97
609087,56,17,116,39,71,18,37,98
443180,27,40,12,1,4,55,26,99
