views,Funny,Beautiful,Ingenious,Courageous,Inspiring,Informative,Fascinating,Persuasive,Jaw-dropping,OK,Obnoxious,Unconvincing,Longwinded,Confusing
47227110,0.209323388,0.048726692,0.064709643,0.034661694,0.265572722,0.078273841,0.11274374,0.114054342,0.047298881,0.012509323,0.002226958,0.00319659,0.004123601,0.002578583
3200520,0.185286104,0.047343324,0.021117166,0.019754768,0.069141689,0.150885559,0.140667575,0.019073569,0.091280654,0.039509537,0.044618529,0.044959128,0.087874659,0.038487738
1636292,0.341359773,0.015934844,0.0648017,0.021246459,0.050283286,0.139872521,0.081444759,0.009560907,0.051699717,0.081444759,0.019121813,0.05878187,0.036827195,0.027620397
1697550,0.203862661,0.07805794,0.008583691,0.01582618,0.022800429,0.014216738,0.10193133,0.035407725,0.123390558,0.061695279,0.009388412,0.287017167,0.028165236,0.009656652
12005869,0.124980484,0.054254489,0.03676815,0.012412178,0.002380952,0.002615144,0.21206089,0.179781421,0.145823575,0.09921936,0.009679938,0.112919594,0.004293521,0.002810304
20685401,0.07176348,0.046952331,0.024550664,0.019601459,0.021815577,0.018559521,0.067595728,0.087913519,0.157788487,0.028718416,0.043566033,0.339346184,0.045975514,0.025853087
3769987,0.079526509,0.414138046,0.053351117,0.037512504,0.010170057,0.037679226,0.073024341,0.032177392,0.051850617,0.05135045,0.04834945,0.052684228,0.046182061,0.012004001
967741,0.190429688,0.095703125,0.025390625,0.033203125,0.004882813,0.118164063,0.149414063,0.036132813,0.061523438,0.055664063,0.008789063,0.024414063,0.025390625,0.170898438
2567958,0.142422707,0.017739483,0.071718196,0.015205271,0.021033958,0.036746072,0.157881399,0.079320831,0.193613786,0.015205271,0.039026863,0.111758743,0.04485555,0.05347187
3095993,0.100636484,0.092110004,0.057163444,0.013930587,0.025099075,0.036507746,0.306953284,0.003122373,0.185300829,0.044553861,0.029422361,0.055121893,0.036747928,0.013330131
1211416,0.09494382,0.14494382,0.01011236,0.10505618,0.021910112,0.028651685,0.019101124,0.007865169,0.08988764,0.037078652,0.003932584,0.011797753,0.341573034,0.083146067
387877,0.118243243,0.162162162,0.027027027,0.033783784,0.001689189,0.055743243,0.023648649,0.011824324,0.070945946,0.033783784,0.043918919,0.069256757,0.008445946,0.339527027
693341,0.212189616,0.097065463,0.010158014,0.018058691,0.003386005,0.064334086,0.079006772,0.01241535,0.005643341,0.005643341,0.002257336,0.125282167,0.270880361,0.093679458
4531020,0.121918961,0.033305278,0.004088013,0.006612961,0.022604304,0.003847541,0.05542864,0.110496573,0.558254178,0.009258146,0.00276542,0.056630997,0.012504509,0.002284478
358304,0.106274008,0.113956466,0.025608195,0.040973111,0.014084507,0.085787452,0.017925736,0.007682458,0.038412292,0.062740077,0.037131882,0.039692702,0.133162612,0.276568502
2702470,0.267831383,0.030453598,0.030453598,0.004648181,0.002404231,0.101779131,0.003526206,0.36544318,0.015226799,0.006571566,0.006251002,0.001602821,0.02292034,0.140887963
1628912,0.236589015,0.018166275,0.042103013,0.004701859,0.006625347,0.09702928,0.011327207,0.01453302,0.006839068,0.004701859,0.005129301,0.426800598,0.007480231,0.117973926
1415724,0.179530201,0.083892617,0.037472036,0.156040268,0.003914989,0.007270694,0.011744966,0.078299776,0.016778523,0.035234899,0.002237136,0.010626398,0.28803132,0.088926174
1074081,0.134127395,0.025375453,0.095805282,0.041429311,0.011393061,0.058518902,0.036768514,0.113930606,0.048161574,0.108751942,0.035214915,0.1879855,0.040911445,0.0616261
1106561,0.066199873,0.008274984,0.029280713,0.10821133,0.008911521,0.176320815,0.11521324,0.046467218,0.043284532,0.00700191,0.034373011,0.012094208,0.040101846,0.304264799
966439,0.099405268,0.044180119,0.018691589,0.010195412,0.005097706,0.219201359,0.094307562,0.022090059,0.022090059,0.101954121,0.058623619,0.006796941,0.02548853,0.271877655
6141440,0.542021689,0.074941905,0.014523625,0.014329977,0.003872967,0.051510457,0.037955074,0.034275755,0.015491867,0.046281952,0.087141751,0.011812548,0.026529822,0.039310612
518624,0.104591837,0.135204082,0.109693878,0.042091837,0.003826531,0.085459184,0.051020408,0.011479592,0.110969388,0.029336735,0.052295918,0.043367347,0.068877551,0.151785714
9260764,0.072356215,0.016419295,0.080148423,0.032003711,0.010296846,0.100463822,0.195361781,0.010667904,0.140352505,0.036549165,0.019202226,0.022727273,0.02309833,0.240352505
1131864,0.254474708,0.059922179,0.042412451,0.012062257,0.016731518,0.13307393,0.005058366,0.056031128,0.037743191,0.037743191,0.010116732,0.307003891,0.010505837,0.017120623
1096862,0.075902935,0.025959368,0.036963883,0.011851016,0.005925508,0.112020316,0.145316027,0.013826185,0.348194131,0.020598194,0.039221219,0.012697517,0.025677201,0.125846501
2885999,0.072485851,0.024379626,0.027644754,0.09077057,0.008489334,0.142141924,0.146713104,0.070526774,0.008924684,0.079886809,0.020243796,0.278841968,0.00914236,0.019808446
2863214,0.238212181,0.021119843,0.009332024,0.01719057,0.008349705,0.26129666,0.0456778,0.021611002,0.029960707,0.053536346,0.003438114,0.198428291,0.085952849,0.00589391
7023562,0.156209028,0.105544109,0.031185615,0.017793594,0.004776175,0.010769807,0.187675595,0.194980333,0.094961603,0.027158644,0.033807829,0.119498033,0.00749204,0.008147593
14689301,0.087123122,0.05878794,0.012150852,0.022385802,0.003378038,0.012503781,0.196581628,0.216950691,0.118735505,0.052788142,0.02213371,0.179187254,0.008772814,0.008520722
10000702,0.102107728,0.011910338,0.080361325,0.026764804,0.007694881,0.16239545,0.166677819,0.003613249,0.165807963,0.034861158,0.028169957,0.021679491,0.018534627,0.169421211
1030267,0.03283438,0.082568807,0.134717528,0.133751811,0.006277161,0.182037663,0.171897634,0.028005794,0.044905843,0.073394495,0.036214389,0.014485756,0.018348624,0.040560116
3277740,0.056345733,0.03920496,0.063822028,0.03920496,0.021881838,0.011852662,0.097738877,0.148067104,0.247811816,0.026440554,0.061451495,0.094456601,0.037563822,0.054157549
503517,0.158640227,0.015580737,0.02266289,0.232294618,0.001416431,0.077903683,0.011331445,0.045325779,0.008498584,0.025495751,0.004249292,0.093484419,0.216713881,0.086402266
705389,0.079470199,0.070198675,0.021192053,0.039735099,0.00397351,0.082119205,0.005298013,0.00794702,0.02781457,0.006622517,0.006622517,0.121854305,0.182781457,0.344370861
580891,0.071264368,0.096551724,0.232183908,0.163218391,0.025287356,0.12183908,0.117241379,0.009195402,0.006896552,0.009195402,0.002298851,0.025287356,0.062068966,0.057471264
