tag,talk_num,avg_view,adj_avg,median_view,talk_list
children,143,1906687.0,1596385.106,1403668,"[1,15,153,172,181,197,199,204,252,278,281,292,294,299,301,302,359,367,384,388,396,398,404,406,421,427,456,466,481,483,568,593,606,652,655,685,686,693,695,712,717,718,746,761,815,818,831,832,834,849,871,887,1034,1069,1076,1143,1188,1257,1260,1333,1359,1364,1375,1384,1404,1412,1415,1421,1425,1428,1430,1444,1453,1494,1499,1501,1518,1541,1554,1560,1733,1782,1805,1816,1823,1842,1918,1958,1989,2011,2113,2142,2155,2172,2191,2198,2207,2218,2233,2247,2271,2275,2276,2277,2280,2286,2289,2317,2324,2329,2343,2347,2350,2356,2357,2367,2370,2371,2381,2382,2396,2400,2401,2406,2407,2410,2411,2416,2418,2420,2424,2431,2434,2439,2440,2446,2455,2470,2476,2478,2480,2483,2526]"
creativity,189,2020586.349,1788818.246,3600582,"[1,17,19,79,90,105,141,159,179,193,200,217,232,247,284,322,323,333,340,341,352,367,369,375,382,383,401,408,417,419,461,481,482,483,484,494,496,499,501,515,518,521,528,536,548,582,604,607,608,613,644,655,680,683,693,694,706,710,739,820,821,842,898,908,929,932,938,947,948,952,960,975,981,1011,1022,1024,1027,1031,1048,1057,1071,1072,1092,1117,1140,1153,1175,1190,1196,1201,1218,1234,1274,1286,1307,1313,1320,1353,1357,1377,1407,1438,1458,1498,1507,1513,1517,1522,1551,1559,1561,1563,1575,1594,1604,1671,1676,1691,1732,1757,1766,1772,1783,1823,1858,1865,1879,1889,1899,1907,1911,1912,1914,1935,1936,1979,1983,1988,2000,2003,2032,2058,2068,2082,2109,2116,2119,2122,2123,2124,2130,2136,2137,2142,2144,2151,2158,2165,2170,2171,2174,2175,2185,2194,2205,2212,2219,2220,2228,2249,2269,2302,2304,2315,2324,2341,2343,2361,2373,2403,2449,2502,2508,2511,2513,2523,2525,2531,2534]"
culture,486,2302286.479,2213965.019,1821539,"[1,2,6,7,8,10,11,12,20,21,22,23,24,25,26,28,29,30,31,34,35,36,37,39,41,43,44,45,46,47,48,49,50,51,52,53,54,56,57,58,60,62,63,64,66,67,68,69,70,72,74,75,80,84,89,91,96,97,98,100,102,103,104,105,106,113,114,115,116,120,127,132,133,138,139,142,143,150,153,154,155,158,163,165,178,179,180,181,182,184,185,187,188,189,190,196,204,209,220,236,239,240,242,246,247,249,256,257,260,262,266,268,275,276,281,295,296,299,300,302,305,314,318,320,323,331,341,342,351,354,355,356,360,372,379,382,383,385,387,388,395,396,407,412,413,414,416,417,436,438,452,453,456,458,468,472,493,498,507,513,519,522,529,530,531,533,553,557,562,563,572,575,580,586,589,605,625,627,628,635,645,664,665,668,670,671,672,689,694,695,701,710,719,727,731,733,737,745,756,758,770,775,781,799,803,804,810,814,816,820,823,826,828,829,830,831,832,833,838,839,840,841,846,850,855,857,859,862,864,865,872,875,876,885,886,889,891,894,895,899,905,906,909,912,913,914,916,917,922,926,927,932,934,936,941,946,948,952,953,955,956,957,958,961,966,967,972,973,974,979,980,981,984,990,991,992,994,996,997,1007,1008,1009,1012,1014,1016,1018,1022,1023,1024,1030,1033,1034,1037,1039,1044,1045,1050,1054,1055,1060,1069,1075,1076,1079,1082,1086,1092,1093,1094,1098,1101,1102,1105,1107,1109,1115,1118,1123,1124,1137,1138,1140,1144,1151,1164,1165,1176,1178,1181,1184,1195,1199,1203,1205,1208,1209,1215,1220,1222,1225,1228,1232,1248,1249,1252,1254,1260,1266,1302,1306,1308,1315,1316,1317,1318,1320,1328,1354,1356,1360,1364,1370,1371,1375,1379,1383,1385,1391,1392,1398,1399,1401,1414,1417,1419,1421,1423,1437,1444,1451,1454,1461,1478,1484,1489,1493,1495,1497,1503,1504,1505,1508,1511,1517,1518,1527,1533,1546,1549,1556,1562,1564,1567,1571,1589,1593,1601,1602,1603,1604,1606,1607,1609,1614,1616,1618,1629,1632,1634,1640,1643,1644,1645,1647,1650,1653,1663,1681,1684,1685,1700,1701,1703,1705,1724,1745,1750,1759,1760,1769,1771,1773,1777,1785,1794,1800,1816,1883,1893,1906,1969,1981,1982,1985,1987,1994,1999,2012,2015,2016,2019,2022,2025,2055,2068,2124,2137,2142,2146,2161,2167,2171,2194,2205,2209,2222,2224,2240,2262,2304,2315,2321,2389,2449,2502,2529]"
dance,25,4122717.16,2419906.261,1383079,"[1,22,59,150,227,429,442,562,632,654,713,1077,1249,1330,1415,1483,1606,1711,1713,1878,1972,2290,2304,2451,2508]"
education,153,2298823.307,2014444.47,1057964,"[1,15,62,132,139,169,182,204,206,209,212,216,222,224,231,264,274,281,283,287,294,299,304,333,381,384,387,388,404,414,442,458,461,462,480,481,589,593,602,615,623,652,655,685,693,712,716,744,761,764,767,803,808,813,815,816,829,830,831,834,849,883,886,904,918,925,1024,1034,1039,1065,1068,1076,1173,1175,1190,1268,1272,1274,1304,1305,1350,1357,1382,1421,1425,1430,1434,1442,1446,1452,1474,1494,1495,1496,1497,1498,1499,1500,1501,1502,1503,1587,1589,1667,1707,1719,1793,1805,1844,1886,1919,1958,1989,1992,2021,2050,2058,2074,2113,2129,2130,2155,2156,2160,2166,2191,2202,2221,2223,2224,2233,2258,2264,2275,2280,2286,2299,2317,2324,2329,2330,2347,2356,2361,2373,2374,2400,2407,2410,2446,2455,2467,2527]"
parenting,50,2478983.46,1589994.167,1429672,"[1,63,171,172,173,197,246,300,927,1333,1375,1404,1415,1419,1421,1425,1444,1554,1724,1816,2096,2130,2142,2172,2191,2198,2207,2217,2247,2271,2276,2280,2343,2350,2357,2367,2375,2381,2382,2396,2400,2406,2416,2424,2430,2434,2440,2455,2470,2476]"
teaching,43,3039995.558,2025462.585,6406853,"[1,204,281,652,685,712,886,1355,1421,1442,1494,1497,1498,1499,1503,1587,1667,1719,1766,1992,2155,2207,2247,2275,2280,2286,2317,2324,2329,2341,2347,2352,2356,2357,2374,2381,2400,2407,2410,2429,2436,2446,2527]"
alternative energy,37,1146153.189,1115750.086,1174189,"[2,18,34,74,104,130,148,200,349,411,426,444,487,579,691,923,1112,1120,1162,1181,1183,1187,1192,1219,1244,1269,1277,1324,1491,1729,2145,2159,2187,2257,2260,2281,2334]"
cars,20,1223464.35,1157486.778,862410,"[2,71,76,104,186,246,349,426,455,965,1051,1284,1388,1488,1527,1560,2005,2154,2310,2380]"
climate change,87,1098368.161,1073064.2,2436104,"[2,26,39,52,55,87,108,110,147,161,163,215,345,444,463,471,487,505,510,511,551,579,707,742,751,757,1120,1133,1147,1160,1162,1167,1219,1238,1244,1301,1324,1346,1365,1449,1464,1536,1576,1582,1628,1736,1775,1825,1826,1895,1897,1928,2052,2059,2089,2095,2114,2120,2121,2145,2156,2157,2159,2182,2183,2187,2196,2214,2247,2257,2260,2281,2334,2368,2388,2390,2415,2428,2439,2450,2454,2462,2479,2487,2489,2498,2535]"
environment,165,1123139.236,1101202.706,1471114,"[2,4,26,41,52,53,67,74,81,87,91,108,110,168,230,288,320,332,376,392,398,410,411,430,444,451,459,463,471,487,505,515,534,551,556,560,564,566,579,587,592,636,660,707,723,726,728,738,743,754,757,760,782,790,800,822,824,835,888,976,998,1040,1120,1133,1143,1147,1149,1150,1160,1162,1167,1174,1200,1219,1227,1238,1239,1255,1269,1283,1301,1324,1332,1369,1390,1418,1464,1469,1492,1536,1550,1576,1582,1584,1628,1736,1754,1765,1895,1897,1928,1945,2000,2006,2072,2074,2080,2089,2090,2095,2114,2119,2120,2121,2123,2126,2129,2131,2138,2150,2154,2156,2157,2159,2168,2173,2177,2183,2187,2190,2192,2196,2220,2235,2239,2247,2248,2250,2254,2257,2260,2281,2291,2337,2340,2351,2361,2365,2368,2390,2394,2404,2428,2438,2442,2450,2460,2462,2475,2487,2489,2498,2531,2534,2535]"
